MLBCODE,full_name
276528,Ryan Jensen
116999,Jeff Kent
117863,Kenny Lofton
408064,Trey Lunsford
134002,Ramon Martinez
150272,Damon Minor
119482,Bill Mueller
150274,Joe Nathan
119718,Robb Nen
133460,Russ Ortiz
121353,Felix Rodriguez
121541,Kirk Rueter
121673,Reggie Sanders
121693,Benito Santiago
121834,Jason Schmidt
400101,Tsuyoshi Shinjo
122497,J.T. Snow
407378,Tony Torcato
150275,Yorvit Torrealba
124482,Jay Witasick
124580,Tim Worrell
345792,Chad Zerbe
150355,Armando Almanza
110532,Brian Banks
277417,Josh Beckett
150359,A.J. Burnett
111792,Homer Bush
112116,Luis Castillo
135783,Ramon Castro
133240,Vic Darensbourg
113845,Juan Encarnacion
114353,Andy Fox
136460,Alex Gonzalez
116569,Charles Johnson
276352,Gary Knotts
117601,Derrek Lee
117841,Graeme Lloyd
131702,Braden Looper
136780,Mike Lowell
342192,Oswaldo Mairena
132788,Kevin Millar
346862,Blaine Neal
136727,Vladimir Nunez
346863,Abraham Nunez
407485,Kevin Olsen
120140,Eric Owens
150367,Pablo Ozuna
134321,Carl Pavano
207267,Brad Penny
133226,Mike Redmond
425146,Nate Robertson
123118,Julian Tavarez
150373,Michael Tejera
400137,Nate Teut
400306,Justin Wayne
133343,Preston Wilson
110135,Edgardo Alfonzo
110183,Roberto Alomar
110359,Pedro Astacio
407194,Mike Bacsik
110859,Armando Benitez
111742,Jeromy Burnitz
112155,Roger Cedeno
407881,Jaime Cerda
150316,McKay Christensen
276054,Brady Clark
279912,Raul Gonzalez
115260,Mark Guthrie
407894,Satoru Komiyama
117652,Al Leiter
136607,Joe McEwing
276525,Jason Middlebrook
120045,Rey Ordonez
340392,Timo Perez
282993,Jason Phillips
120536,Mike Piazza
121002,Steve Reed
150241,Grant Roberts
340192,Marco Scutaro
150242,Jae Weong Seo
400109,Esix Snead
232994,Scott Strickland
123307,John Thomson
123431,Steve Trachsel
123608,John Valentin
123678,Mo Vaughn
400104,Tyler Walker
124000,Dave Weathers
421064,Ty Wigginton
136300,Vance Wilson
150211,Brian Buchanan
284568,Sean Burroughs
407803,Mike Bynum
424925,Clay Condrey
406678,Cesar Crespo
112897,Deivi Cruz
407804,Eric Cyr
276527,Kory DeHaan
284566,Adam Eaton
407235,Jeremy Fikac
114567,Ron Gant
150435,Wiki Gonzalez
116034,Trevor Hoffman
407806,Ben Howard
116496,Kevin Jarvis
116717,Bobby Jones
116718,Bobby Jones
117094,Gene Kingsale
117148,Ryan Klesko
117276,Mark Kotsay
117442,Tom Lampkin
117484,Ray Lankford
400147,Brian Lawrence
119732,Phil Nevin
408241,Jake Peavy
424144,Oliver Perez
407807,Dennis Tankersley
328092,Brian Tollberg
123387,Brett Tomko
123438,Bubba Trammell
408243,J.J. Trujillo
407496,Ramon Vazquez
276344,Brandon Villafuerte
110029,Bobby Abreu
110067,Terry Adams
136724,Marlon Anderson
111262,Ricky Bottalico
150100,Pat Burrell
407781,Marlon Byrd
150102,Dave Coggin
112690,Rheal Cormier
346855,Brandon Duckworth
283051,Johnny Estrada
136605,Jeremy Giambi
114844,Doug Glanville
116083,Dave Hollins
407784,Eric Junge
133342,Ricky Ledee
134162,Travis Lee
117759,Mike Lieberthal
280059,Hector Mercado
118986,Jose Mesa
346859,Jason Michaels
408206,Brett Myers
218894,Vicente Padilla
120416,Tomas Perez
120447,Robert Person
120624,Dan Plesac
135784,Placido Polanco
120747,Todd Pratt
346857,Nick Punto
121258,Joe Roa
276519,Jimmy Rollins
121696,Jose Santiago
400067,Carlos Silva
406873,Bud Smith
123348,Mike Timlin
346858,Eric Valent
124084,Turk Wendell
150116,Randy Wolf
407887,Tony Alvarez
150247,Jimmy Anderson
276520,Bronson Arroyo
346847,Joe Beimel
150249,Kris Benson
111145,Brian Boehringer
111531,Adrian Brown
276521,Humberto Cota
400051,J.J. Davis
150319,Josh Fogg
114789,Brian Giles
283210,Adam Hyzdu
116974,Jason Kendall
150221,Mike Lincoln
406670,Rob Mackowiak
118268,Josias Manzanillo
150062,Tony McKnight
132785,Brian Meadows
119865,Abraham Nunez
120092,Keith Osik
133380,Aramis Ramirez
