year,mlb_id,pitch_type,3B_times
2008,110029,CU,1
2008,110029,FT,1
2008,110029,SL,1
2008,110236,FF,2
2008,110236,FT,1
2008,110383,FF,1
2008,111213,FT,1
2008,111548,SI,1
2008,111851,CH,1
2008,111867,FF,1
2008,111867,FT,1
2008,111904,FF,1
2008,111904,SL,1
2008,112116,CH,1
2008,112131,CH,1
2008,112736,SI,1
2008,113028,FC,1
2008,113028,FF,1
2008,113028,FT,1
2008,113028,SI,1
2008,113232,SL,1
2008,113240,CU,1
2008,113240,FF,1
2008,113679,FF,2
2008,113702,FF,1
2008,113702,SL,1
2008,113744,FF,1
2008,113744,FT,1
2008,114739,SI,1
2008,114789,FF,3
2008,114789,SL,1
2008,114935,CH,1
2008,115135,SL,1
2008,115223,FC,1
2008,115223,FF,1
2008,115223,SI,1
2008,115229,SL,1
2008,116338,FF,2
2008,116380,FF,2
2008,116380,SI,1
2008,116539,FF,3
2008,116662,CH,1
2008,116706,CH,1
2008,116974,FC,1
2008,116974,FF,1
2008,116999,SI,1
2008,117244,SI,1
2008,117276,FF,2
2008,117276,FT,1
2008,117276,SL,1
2008,117601,CU,1
2008,117601,FF,1
2008,117601,FT,1
2008,120044,FF,1
2008,120044,SL,1
2008,120074,FC,1
2008,120074,SL,1
2008,120691,FF,1
2008,120903,CH,1
2008,121074,FF,1
2008,121074,SI,1
2008,121358,CU,1
2008,121358,SI,1
2008,121358,SL,1
2008,121409,FF,1
2008,121409,SL,1
2008,122644,KN,1
2008,122784,SI,1
2008,122784,SL,1
2008,123107,FF,1
2008,123173,FC,1
2008,123173,FF,1
2008,123744,SL,1
2008,131702,SI,1
2008,132660,FF,1
2008,132720,FF,1
2008,132720,FT,1
2008,133160,CH,1
2008,133160,FF,1
2008,133321,CH,1
2008,133321,SI,1
2008,133380,FT,1
2008,134181,FF,1
2008,134341,FF,1
2008,134341,SI,1
2008,135784,FF,2
2008,135784,SL,1
2008,136267,FC,1
2008,136660,FC,1
2008,136660,FF,1
2008,136660,SL,1
2008,136722,FF,1
2008,136722,FT,1
2008,136770,CH,1
2008,136770,FF,1
2008,136770,SI,1
