year,mlb_id,pitch_type,2B_times
2008,110029,CH,3
2008,110029,CU,3
2008,110029,FC,1
2008,110029,FF,18
2008,110029,FT,9
2008,110029,SI,2
2008,110029,SL,3
2008,110189,FF,2
2008,110236,CH,4
2008,110236,CU,5
2008,110236,FC,1
2008,110236,FF,4
2008,110236,FT,3
2008,110236,SI,4
2008,110236,SL,5
2008,110383,CH,4
2008,110383,FC,1
2008,110383,FF,9
2008,110383,FT,3
2008,110383,SI,1
2008,110383,SL,1
2008,110385,FF,6
2008,110385,SL,1
2008,110870,FF,1
2008,111072,CU,1
2008,111072,FF,1
2008,111072,SI,1
2008,111213,CH,1
2008,111213,CU,2
2008,111213,FF,5
2008,111213,FT,2
2008,111213,SI,1
2008,111213,SL,2
2008,111548,CU,2
2008,111548,FF,4
2008,111548,FT,4
2008,111548,SI,1
2008,111548,SL,2
2008,111851,FC,2
2008,111851,FF,22
2008,111851,FS,1
2008,111851,KC,1
2008,111851,SI,2
2008,111851,SL,4
2008,111867,CU,2
2008,111867,FC,1
2008,111867,FF,2
2008,111867,FT,3
2008,111867,SI,3
2008,111867,SL,1
2008,111904,CH,2
2008,111904,CU,2
2008,111904,FC,2
2008,111904,FF,7
2008,111904,FT,2
2008,111904,SI,7
2008,111904,SL,3
2008,112077,FF,2
2008,112087,CH,1
2008,112087,FC,1
2008,112087,FF,7
2008,112087,FT,1
2008,112087,SI,1
2008,112087,SL,2
2008,112116,CU,1
2008,112116,FF,3
2008,112116,FT,1
2008,112116,SI,1
2008,112116,SL,1
2008,112128,FC,1
2008,112128,FT,1
2008,112128,SI,3
2008,112131,CH,2
2008,112131,CU,2
2008,112131,FC,1
2008,112131,FF,7
2008,112131,KC,1
2008,112131,SI,7
2008,112131,SL,3
2008,112223,CU,1
2008,112223,FF,1
2008,112223,SI,1
2008,112223,SL,1
2008,112316,CH,2
2008,112316,FF,2
2008,112316,SI,1
2008,112736,CH,2
2008,112736,CU,1
2008,112736,FC,1
2008,112736,FF,2
2008,112736,FT,3
2008,112736,SI,3
2008,112736,SL,1
2008,113028,CH,4
2008,113028,CU,1
2008,113028,FC,1
2008,113028,FF,12
2008,113028,FT,5
2008,113028,SI,2
2008,113028,SL,2
2008,113232,CH,4
2008,113232,CU,2
2008,113232,FC,3
2008,113232,FF,10
2008,113232,FT,4
2008,113232,SI,6
2008,113232,SL,2
2008,113240,CH,1
2008,113240,CU,2
2008,113240,FC,1
2008,113240,FF,7
2008,113240,FS,1
2008,113240,FT,1
2008,113240,SI,3
2008,113240,SL,3
2008,113660,CH,5
2008,113660,CU,2
2008,113660,FF,16
2008,113660,FS,3
2008,113660,FT,3
2008,113660,SI,2
2008,113660,SL,3
2008,113679,CH,2
2008,113679,CU,2
2008,113679,FC,5
2008,113679,FF,14
2008,113679,FT,4
2008,113679,SI,9
2008,113679,SL,6
2008,113702,CH,1
2008,113702,CU,3
2008,113702,FF,3
2008,113702,SI,1
2008,113702,SL,2
2008,113744,CH,3
2008,113744,CU,2
2008,113744,FC,1
2008,113744,FF,5
2008,113744,FS,1
2008,113744,FT,4
2008,113744,SI,1
2008,113744,SL,3
2008,113889,CU,2
2008,113889,FF,5
2008,113889,FS,1
2008,113889,FT,1
2008,113889,SI,3
2008,113889,SL,3
2008,113915,FF,1
2008,114031,EP,1
2008,114031,FC,1
2008,114031,SI,2
2008,114260,CH,3
2008,114260,CU,1
2008,114260,FF,2
2008,114260,FT,2
2008,114260,SI,3
2008,114260,SL,3
2008,114596,CH,2
2008,114596,CU,1
2008,114596,FF,2
2008,114596,SI,1
2008,114596,SL,3
2008,114739,CH,1
2008,114739,FC,3
2008,114739,FF,7
2008,114739,FT,1
2008,114739,SI,3
2008,114739,SL,3
2008,114789,CH,3
2008,114789,CU,1
2008,114789,FF,21
2008,114789,FT,1
2008,114789,SI,7
2008,114789,SL,5
2008,114909,CU,1
2008,114909,FC,2
2008,114909,FF,4
2008,114909,SL,1
2008,114935,CH,4
2008,114935,CU,2
2008,114935,FC,3
2008,114935,FF,5
2008,114935,FT,5
2008,114935,SI,4
2008,114935,SL,3
2008,115135,CH,4
2008,115135,CU,1
2008,115135,FC,1
2008,115135,FF,11
2008,115135,FS,1
2008,115135,FT,3
2008,115135,SI,1
2008,115135,SL,5
2008,115210,CH,1
2008,115210,CU,1
2008,115210,FC,1
2008,115210,FF,8
2008,115210,FT,2
2008,115210,SI,4
2008,115210,SL,6
2008,115223,CH,2
2008,115223,CU,4
2008,115223,FC,3
2008,115223,FF,11
2008,115223,FT,3
2008,115223,SI,6
2008,115223,SL,3
2008,115229,CH,3
2008,115229,FF,14
2008,115229,FS,1
2008,115229,FT,4
2008,115229,SI,4
2008,115229,SL,14
2008,115399,FF,1
2008,115399,FT,1
2008,115608,FF,2
2008,115608,SL,1
2008,115732,CH,4
2008,115732,FC,1
2008,115732,FF,5
2008,115732,FT,1
2008,115732,SI,2
