season,player,pitch_type,total_times,swin_time,single,double,triple,home_run,score
2010,113744,SL,168,72,4,1,0,1,0.09625
2010,114739,CB,52,16,0,0,0,1,0.13125
2010,114739,CH,67,33,0,0,0,1,0.06363636363636364
2010,114739,CT,48,20,1,0,0,1,0.14950000000000002
2010,114739,FB,561,235,23,8,0,1,0.13927659574468085
2010,114739,SF,13,10,0,0,0,1,0.21
2010,114739,SL,124,53,4,1,0,1,0.13075471698113206
2010,115135,CB,35,11,0,0,0,0,0.1407142857142857
2010,115135,CH,45,21,0,0,0,0,0.1407142857142857
2010,115135,CT,16,7,0,0,0,0,0.1407142857142857
2010,115135,FB,282,128,15,2,0,0,0.124140625
2010,115135,SF,12,5,0,0,0,0,0.1407142857142857
2010,115135,SL,35,16,0,0,0,0,0.1407142857142857
2010,115210,CB,37,14,3,0,0,0,0.1907142857142857
2010,115210,CH,46,27,4,0,0,0,0.13185185185185186
2010,115210,CT,19,8,1,0,0,0,0.11125
2010,115210,FB,276,124,21,0,0,0,0.1507258064516129
2010,115210,SF,6,5,0,0,0,0,0.1407142857142857
2010,115210,SL,56,23,1,0,0,0,0.03869565217391304
2010,115223,CB,173,120,17,3,0,5,0.2453333333333333
2010,115223,CH,211,137,19,5,0,4,0.2310948905109489
2010,115223,CT,141,89,4,1,0,3,0.1250561797752809
2010,115223,FB,1265,696,65,15,0,13,0.14971264367816092
2010,115223,KN,11,6,3,0,0,0,0.445
2010,115223,SF,41,24,1,0,1,0,0.10458333333333336
2010,115223,SL,352,226,21,6,0,4,0.1535840707964602
2010,115229,CB,159,64,5,1,0,3,0.1878125
2010,115229,CH,214,121,3,4,0,2,0.09876033057851236
2010,115229,CT,99,37,3,1,0,1,0.16324324324324324
2010,115229,FB,1326,621,67,14,0,11,0.16185185185185186
2010,115229,KN,25,13,1,0,0,0,0.06846153846153846
2010,115229,SF,31,19,1,0,0,0,0.046842105263157886
2010,115229,SL,343,188,12,2,2,2,0.1098936170212766
2010,115732,CB,147,45,10,0,0,1,0.24444444444444444
2010,115732,CH,173,74,7,2,0,0,0.11851351351351352
2010,115732,CT,109,43,3,2,0,0,0.12116279069767442
2010,115732,FB,1284,529,44,14,1,7,0.13848771266540644
2010,115732,KN,4,0,0,0,0,0,0.1407142857142857
2010,115732,SF,28,13,2,0,0,0,0.13692307692307693
2010,115732,SL,292,99,9,0,0,0,0.0809090909090909
2010,115817,CB,11,5,1,0,0,0,0.17800000000000002
2010,115817,CH,9,2,0,0,0,0,0.1407142857142857
2010,115817,CT,2,1,0,0,0,0,0.1407142857142857
2010,115817,FB,171,79,5,1,0,0,0.07240506329113924
2010,115817,KN,10,6,1,0,0,0,0.14833333333333334
2010,115817,SF,3,3,0,0,0,0,0.1407142857142857
2010,115817,SL,26,11,0,0,0,1,0.19090909090909086
2010,116034,FB,3,1,0,0,0,0,0.1407142857142857
2010,116034,SL,2,2,0,0,0,0,0.1407142857142857
2010,116338,CB,202,110,13,2,0,2,0.16645454545454544
2010,116338,CH,287,155,14,2,0,2,0.12387096774193547
2010,116338,CT,179,93,9,4,0,1,0.16333333333333333
2010,116338,FB,1430,586,50,21,0,12,0.16445392491467578
2010,116338,KN,6,3,0,1,0,0,0.4233333333333333
2010,116338,SF,26,13,0,2,0,0,0.19538461538461527
2010,116338,SL,352,168,15,4,0,6,0.18470238095238087
2010,116380,CB,202,59,5,3,0,0,0.14
2010,116380,CH,296,142,22,7,0,4,0.2596478873239437
2010,116380,CT,83,33,2,1,0,0,0.09242424242424242
2010,116380,FB,1553,620,51,23,4,9,0.16125806451612906
2010,116380,KN,61,33,3,0,0,2,0.2081818181818182
2010,116380,SF,57,29,2,1,0,0,0.10517241379310344
2010,116380,SL,372,152,15,4,1,1,0.14572368421052634
2010,116539,CB,176,75,7,5,0,1,0.1957333333333333
2010,116539,CH,253,142,11,6,0,2,0.1521830985915493
2010,116539,CT,159,71,12,1,0,0,0.16830985915492958
2010,116539,FB,1846,840,91,16,4,6,0.1433214285714286
2010,116539,KN,18,6,0,0,0,0,0.1407142857142857
2010,116539,SF,35,18,1,0,0,0,0.04944444444444445
2010,116539,SL,353,181,20,5,0,1,0.14502762430939226
2010,116662,CB,112,32,1,0,0,3,0.2246875
2010,116662,CH,170,79,3,1,0,3,0.12962025316455694
2010,116662,CT,73,37,0,1,0,0,0.034324324324324335
2010,116662,FB,738,312,26,9,1,8,0.16983974358974355
2010,116662,KN,3,2,0,0,0,0,0.1407142857142857
2010,116662,SF,5,4,1,0,0,0,0.2225
2010,116662,SL,247,90,1,1,0,4,0.11733333333333335
2010,116706,CB,127,34,1,2,0,1,0.16264705882352942
2010,116706,CH,194,89,7,1,0,2,0.13146067415730334
2010,116706,CT,74,38,3,2,0,1,0.1923684210526316
2010,116706,FB,852,363,37,16,0,6,0.18140495867768594
2010,116706,KN,13,2,0,0,0,0,0.1407142857142857
2010,116706,SF,32,14,0,0,0,0,0.1407142857142857
2010,116706,SL,137,65,4,0,0,0,0.05476923076923077
2010,116974,CB,85,36,3,1,0,0,0.10944444444444444
2010,116974,CH,123,59,9,2,0,0,0.1788135593220339
2010,116974,CT,79,40,3,0,0,0,0.06675
2010,116974,FB,1317,544,66,13,0,0,0.13832720588235295
2010,116974,KN,10,2,0,0,0,0,0.1407142857142857
2010,116974,SF,11,6,1,0,0,0,0.14833333333333334
2010,116974,SL,192,85,11,2,0,0,0.1450588235294118
2010,117244,CB,210,78,0,2,0,0,0.03256410256410257
2010,117244,CH,281,132,13,3,0,6,0.211969696969697
2010,117244,CT,124,61,4,2,0,1,0.13442622950819672
2010,117244,FB,1393,593,66,20,1,28,0.24377740303541315
2010,117244,KN,2,2,0,0,0,0,0.1407142857142857
2010,117244,SF,16,10,2,0,0,1,0.38799999999999996
2010,117244,SL,483,180,12,2,0,2,0.09677777777777777
2010,117276,CB,73,26,2,0,0,0,0.06846153846153846
2010,117276,CH,196,91,9,1,0,1,0.12505494505494505
2010,117276,CT,40,12,0,1,0,1,0.2808333333333333
2010,117276,FB,871,391,35,14,1,3,0.14539641943734016
2010,117276,SF,17,7,1,0,0,0,0.12714285714285714
2010,117276,SL,162,69,4,1,1,3,0.18478260869565216
2010,117601,CB,194,69,10,2,0,3,0.2571014492753623
2010,117601,CH,299,141,7,5,0,3,0.13390070921985814
2010,117601,CT,174,72,3,2,0,2,0.13069444444444445
2010,117601,FB,1624,672,60,21,0,9,0.1472767857142857
2010,117601,KN,6,4,0,1,0,0,0.3175
2010,117601,SF,24,10,0,0,0,0,0.1407142857142857
2010,117601,SL,396,160,9,4,0,2,0.1080625
2010,117955,CB,12,3,0,0,0,0,0.1407142857142857
2010,117955,CH,7,2,0,0,0,0,0.1407142857142857
2010,117955,CT,10,8,1,0,0,0,0.11125
2010,117955,FB,173,74,3,2,0,0,0.07040540540540541
2010,117955,KN,3,2,0,1,0,0,0.635
2010,117955,SF,2,1,0,0,0,0,0.1407142857142857
2010,117955,SL,36,14,0,1,0,0,0.09071428571428572
2010,119154,CH,1,1,0,0,0,0,0.1407142857142857
2010,119154,FB,9,5,0,0,0,0,0.1407142857142857
2010,119154,SL,2,2,0,0,0,0,0.1407142857142857
2010,119215,CB,1,1,0,0,0,0,0.1407142857142857
2010,119215,CT,1,1,0,0,0,0,0.1407142857142857
2010,119215,FB,32,11,1,0,0,0,0.08090909090909093
2010,119215,SL,2,2,0,0,0,0,0.1407142857142857
2010,119469,CB,5,2,0,0,0,0,0.1407142857142857
